,Number,Na2O,K2O,Al2O3,SiO2,CaO,MgO,Fe2O3,S,PPP,P2O5,Albit,GidroSl,Mont,Clay,Q,Dolomit,Calcit,Carb,Pyrit,Siderit,UV,Kerogen,OV,Appatit,well,field
0,1.006,1.32,1.53,8.82,71.37,1.07,1.01,1.91,1.83,10.28,0.12,11.168903225806451,17.0,7.7419354838709715,24.74193548387097,51.83932258064516,0.8477312628405237,1.449031849992859,2.2967631128333825,2.8735900104058274,0.0,0.441,5.961849270758258,6.402849270758258,0.0,104р,Н.Табаганское
1,1.057,1.24,1.67,9.41,63.11,1.46,0.96,2.59,2.91,15.69,0.16,10.491999999999999,18.555555555555554,9.016666666666675,27.57222222222223,42.67116666666667,0.18726403823177912,2.5034433199803225,2.6907073582121015,4.201246117084827,0.0,0.0,11.79079469440332,11.79079469440332,0.0,104р,Н.Табаганское
2,1.128,0.84,1.13,5.99,53.23,3.1,0.74,2.01,4.4,27.61,0.25,7.107483870967742,12.555555555555554,4.206989247311834,16.76254480286739,40.360553763440855,0.8293355983054207,5.081174645601101,5.910510243906522,3.4694035919374113,0.0,9.687000000000001,16.864675647270257,26.551675647270258,0.0,104р,Н.Табаганское
3,1.196,1.18,1.6,8.75,59.94,0.87,0.98,2.24,3.13,20.24,0.22,9.984322580645161,17.77777777777778,7.376881720430109,25.154659498207888,41.04809139784946,0.6475109913403352,1.2008570071571236,1.8483679984974588,3.554500443211162,0.0,1.3969999999999998,17.050369926939876,18.447369926939874,0.0,104р,Н.Табаганское
4,2.017,1.06,1.49,8.05,59.25,0.91,0.88,2.06,3.29,21.83,0.25,8.968967741935485,16.555555555555554,6.697311827956996,23.25286738351255,41.97094086021505,0.480009308916696,1.3631564456051821,1.8431657545218783,3.2608513893706403,0.0,4.254,16.223177621166272,20.477177621166273,0.0,104р,Н.Табаганское
5,2.067,1.19,1.67,8.81,59.05,0.74,1.02,2.54,3.41,20.54,0.16,10.068935483870966,18.555555555555554,6.427956989247322,24.983512544802878,40.222215053763435,0.8566420899407361,0.8553711525077142,1.7120132424484504,4.193370640151078,0.0,0.0,18.089168569135218,18.089168569135218,0.0,104р,Н.Табаганское
6,2.096,1.39,2.08,10.75,54.31,1.48,1.5,4.06,4.07,19.2,0.24,11.761193548387096,23.11111111111111,7.649462365591402,30.76057347670251,31.577688172043008,2.171836435811462,1.4618210424417193,3.6336574782531814,7.164365976798859,0.0,0.0,14.193728803009565,14.193728803009565,0.0,104р,Н.Табаганское
7,2.132,0.9,1.38,7.18,58.09,7.43,0.88,2.02,2.57,18.56,0.25,7.615161290322581,15.333333333333332,5.496774193548388,20.83010752688172,42.92212903225806,0.8495352953209354,12.796287840144728,13.645823135465664,3.2883320615100016,0.0,0.4480000000000004,13.641253406983205,14.089253406983206,0.0,104р,Н.Табаганское
8,3.018,0.97,1.43,7.41,57.27,3.18,0.88,2.26,3.34,22.23,0.2,8.207451612903226,15.888888888888888,5.2376344086021565,21.126523297491044,41.568827956989246,0.8043251480088103,5.237496457711307,6.041821605720117,3.7838511581300347,0.0,1.0530000000000002,19.454027734316657,20.507027734316658,0.0,104р,Н.Табаганское
9,3.056,1.08,1.62,8.31,57.99,3.94,1.05,2.41,2.77,19.59,0.41,9.138193548387097,18.0,5.666129032258071,23.66612903225807,40.44885483870967,1.1948435123669248,6.381585256371018,7.576428768737943,3.973712452306626,0.0,0.0,15.790709856555331,15.790709856555331,0.0,104р,Н.Табаганское
10,3.078,0.97,1.48,7.56,56.61,4.03,0.89,2.04,2.94,22.29,0.34,8.207451612903226,16.444444444444443,5.154301075268819,21.598745519713262,40.69299462365591,0.7780573417410045,6.768422383637233,7.546479725378238,3.2833553397309907,0.0,2.3819999999999992,17.259374452955406,19.641374452955404,0.0,104р,Н.Табаганское
11,3.144,0.97,1.58,7.79,53.67,6.88,1.18,2.44,3.06,21.25,0.31,8.207451612903226,17.555555555555557,4.6376344086021515,22.19318996415771,37.49982795698925,2.0143389335064663,11.182611363888832,13.196950297395297,4.102288434115698,0.0,1.158,17.78189679392128,18.93989679392128,0.0,104р,Н.Табаганское
12,4.018,1.16,1.76,9.11,57.79,2.67,1.1,2.5,2.86,19.75,0.32,9.815096774193547,19.555555555555554,6.6747311827957,26.230286738351253,38.5458440860215,1.0325352567808352,4.203614506040593,5.236149762821428,4.042795891625237,0.0,0.8439999999999998,15.469086836687124,16.313086836687123,0.0,104р,Н.Табаганское
13,4.045,1.27,2.11,10.1,56.8,1.19,1.2,3.07,3.0,20.07,0.17,10.74583870967742,23.444444444444443,4.88655913978495,28.331003584229393,36.019704301075265,1.1696963929430106,1.4883734150383474,2.658069807981358,5.123339384129187,0.0,1.3049999999999997,15.187187515589454,16.492187515589453,0.0,104р,Н.Табаганское
14,4.091,1.27,1.93,9.8,52.46,4.11,1.45,3.45,3.32,20.57,0.53,10.74583870967742,21.444444444444443,6.3865591397849535,27.831003584229396,31.844704301075268,2.3898783615120758,6.036203902071872,8.426082263583947,5.9929092766023055,0.0,0.872999999999999,15.171435818333633,16.044435818333632,0.0,104р,Н.Табаганское
15,5.051,1.19,2.06,10.3,56.57,3.52,1.04,2.43,2.36,19.42,0.15,10.068935483870966,22.88888888888889,7.37795698924732,30.26684587813621,35.24271505376343,0.14232722917426288,6.203523166001283,6.345850395175545,3.6816752996492856,0.0,0.44200000000000017,14.184555443690193,14.626555443690194,0.0,104р,Н.Табаганское
16,5.068,1.38,2.1,11.21,52.06,2.39,1.24,3.94,4.16,20.47,0.13,11.67658064516129,23.333333333333332,9.698387096774203,33.031720430107534,28.23756451612903,0.6357574463922004,3.9193941836186443,4.555151630010845,6.815194704590127,0.0,1.171,14.067482763273153,15.238482763273153,0.0,104р,Н.Табаганское
17,5.077,1.15,1.8,9.69,55.38,3.48,0.98,2.47,2.91,21.1,0.14,9.73048387096774,20.0,8.990322580645161,28.990322580645163,34.806387096774195,0.062485125003334765,6.175492236436718,6.237977361440053,3.8646736038848433,0.0,2.3370000000000006,14.796964948322799,17.1339649483228,0.0,104р,Н.Табаганское
18,5.123,1.23,1.91,10.27,52.47,5.1,1.33,3.59,3.68,19.08,0.37,10.407387096774192,21.22222222222222,9.398924731182799,30.62114695340502,30.654376344086025,1.4152361470571664,8.331750876787295,9.746987023844461,6.190258835318149,0.0,0.0,14.656405556840582,14.656405556840582,0.0,104р,Н.Табаганское
19,6.122,0.59,0.98,5.99,16.33,26.54,11.8,3.69,0.7,32.08,0.53,4.9921612903225805,10.888888888888888,8.763440860215058,19.652329749103945,3.365795698924729,50.99562480915239,19.67313723223131,70.6687620413837,1.308411214953271,5.491094130666791,0.05,1.9499575810760061,1.9999575810760062,0.0,104р,Н.Табаганское
20,7.031,0.22,0.53,3.13,13.98,44.61,1.2,0.61,0.28,34.37,0.41,1.861483870967742,5.888888888888889,5.006989247311826,10.895878136200714,7.408553763440862,3.828949604371041,77.51972197851276,81.34867158288381,0.5233644859813085,0.2620127551687859,0.0,0.0,0.0,0.0,104р,Н.Табаганское
21,7.056,0.17,0.39,2.34,11.38,45.98,1.18,0.53,0.26,36.73,0.38,1.4384193548387096,4.333333333333333,3.8016129032258066,8.13494623655914,6.437435483870968,4.158540871777085,79.78531591547474,83.94385678725183,0.48598130841121495,0.2594843230809462,0.0,0.0,0.0,0.0,104р,Н.Табаганское
22,7.114,0.55,0.94,5.72,16.24,26.06,10.35,5.3,0.65,32.98,0.48,4.653709677419355,10.444444444444443,8.409139784946237,18.85358422939068,3.8958010752688157,44.48271221513677,22.352146853654162,66.83485906879093,1.2149532710280375,8.95923712220886,0.225,2.6704609755876505,2.8954609755876506,0.0,104р,Н.Табаганское
23,7.128,1.15,1.93,10.38,35.78,15.51,5.16,5.15,1.0,22.59,0.49,9.73048387096774,21.444444444444443,10.273655913978503,31.718100358422944,13.880220430107528,18.772789324984956,17.484053976544946,36.2568433015299,1.8691588785046729,7.362980927435112,0.08900000000000005,2.925861428189203,3.014861428189203,0.0,104р,Н.Табаганское
24,8.137,0.87,1.69,8.86,30.6,19.81,4.02,5.94,1.3,23.93,2.1,7.361322580645161,18.777777777777775,8.976881720430113,27.754659498207886,12.230091397849462,14.161026293242735,22.68357274450421,36.844599037746946,2.429906542056075,8.65116515762541,0.20700000000000002,4.9122944052915685,5.119294405291568,5.016953681587587,104р,Н.Табаганское
25,9.108,1.34,2.24,11.24,47.66,11.52,2.51,3.98,1.29,17.15,0.17,11.338129032258065,24.88888888888889,7.844086021505376,32.73297491039426,24.292569892473114,6.49243955874549,17.030927524206582,23.52336708295207,2.411214953271028,4.31909169696747,0.5400000000000003,4.519594178990792,5.059594178990792,0.0,104р,Н.Табаганское
26,94259/20,0.39,0.39,3.37,78.76,0.56,0.2,1.98,3.57,9.98,0.22,3.299903225806452,4.333333333333333,7.141935483870969,11.475268817204302,70.83432258064516,0.0,0.9992156862745099,0.9992156862745099,3.7445720892588743,0.0,0.0,8.180991450076045,8.180991450076045,0.0,10П,Тортасинское
27,94261/20,0.44,0.83,5.48,73.72,1.88,0.71,1.59,2.1,12.04,0.41,3.722967741935484,9.222222222222221,9.947311827956995,19.169534050179216,61.79944086021506,0.32494451707771077,3.178116386570815,3.503060903648526,2.5287187728831855,0.0,0.0,9.635686504004736,9.635686504004736,0.0,10П,Тортасинское
28,94275/20,0.41,0.63,4.38,77.81,0.98,0.38,1.24,2.02,11.03,0.25,3.4691290322580643,7.0,8.02741935483871,15.02741935483871,68.07640322580646,0.0,1.748627450980392,1.748627450980392,1.9722778355879294,0.0,0.0,9.408807458896591,9.408807458896591,0.0,10П,Тортасинское
29,94278/20,0.22,0.21,2.04,49.7,17.19,7.42,1.21,0.86,20.26,0.34,1.861483870967742,2.333333333333333,4.8903225806451625,7.2236559139784955,44.8413870967742,32.849791438761265,12.840118000720924,45.68990943948219,1.6074766355140186,0.6542352536893139,0.0,4.310701857054751,4.310701857054751,0.0,10П,Тортасинское
30,94279/20,0.31,0.27,2.27,88.76,0.15,0.1,0.32,0.66,6.61,0.06,2.6229999999999998,3.0,4.300000000000001,7.300000000000001,83.36900000000001,0.0,0.2676470588235294,0.2676470588235294,0.357483870967742,0.0,0.0,6.499417351039206,6.499417351039206,0.0,10П,Тортасинское
31,94282/20,0.35,0.34,3.22,77.9,2.67,0.48,1.49,2.67,9.35,0.89,2.9614516129032253,3.777777777777778,7.554301075268819,11.332078853046598,70.25499462365593,0.46792775806303327,4.5101069714508535,4.978034729513887,2.705520214282962,0.0,0.0,5.992275956091588,5.992275956091588,0.0,10П,Тортасинское
32,94283/20,0.29,0.28,3.02,82.47,0.18,0.12,1.48,2.87,8.68,0.08,2.4537741935483868,3.111111111111111,8.047849462365592,11.158960573476703,75.23225268817204,0.0,0.3211764705882353,0.3211764705882353,2.7017183874821757,0.0,0.0,7.0065587459868235,7.0065587459868235,0.0,10П,Тортасинское
33,94292/20,0.48,0.64,4.49,73.37,0.51,0.92,2.54,4.1,12.02,0.17,4.061419354838709,7.111111111111111,7.834946236559142,14.946057347670251,63.2757688172043,1.9300140819599716,0.0,1.9300140819599716,4.769268855744403,0.0,0.0,7.580429271848601,7.580429271848601,0.0,10П,Тортасинское
34,94284/20,0.31,0.37,2.96,83.02,0.2,0.18,1.26,2.17,8.84,0.09,2.6229999999999998,4.111111111111111,6.083333333333334,10.194444444444445,76.20283333333333,0.0,0.3568627450980392,0.3568627450980392,2.2491696535244925,0.0,0.0,10.369706944060498,10.369706944060498,0.0,10П,Тортасинское
35,94286/20,0.33,0.46,3.7,80.53,0.14,0.19,1.64,2.76,9.55,0.06,2.792225806451613,5.111111111111111,8.118817204301077,13.229928315412188,72.09341397849462,0.0,0.24980392156862746,0.24980392156862746,2.9329650055883145,0.0,0.0,7.8606916216880744,7.8606916216880744,0.0,10П,Тортасинское
36,94287/20,0.31,0.28,3.36,56.62,0.78,0.25,8.3,11.53,17.84,0.3,2.6229999999999998,3.111111111111111,9.583333333333336,12.694444444444446,48.48283333333333,0.0,1.3917647058823528,1.3917647058823528,17.309277180406216,0.0,0.0,12.118010174011497,12.118010174011497,0.0,10П,Тортасинское
37,809.38,0.98,3.34,20.31,48.2,0.89,2.32,7.65,2.77,11.94,0.1,8.292064516129031,37.11111111111111,37.822043010752694,74.9331541218638,5.954284946236562,0.0,1.5880392156862744,1.5880392156862744,5.177570093457944,7.502866475221418,0.0,5.978908467879563,5.978908467879563,0.0,11,Унлорская
38,809.38,0.99,3.43,20.42,48.95,0.49,2.23,7.25,2.55,12.08,0.1,8.376677419354838,38.111111111111114,36.789784946236566,74.90089605734768,6.707575268817205,0.0,0.874313725490196,0.874313725490196,4.766355140186915,7.054800108735312,0.0,6.53788370009109,6.53788370009109,0.0,11,Унлорская
39,805.34,1.1,3.24,15.93,51.99,2.14,1.88,6.49,3.33,12.42,0.18,9.30741935483871,36.0,16.60161290322581,52.60161290322581,20.385435483870964,0.5793404306411574,3.5039412580849207,4.083281688726078,6.224299065420561,4.932772992226425,0.0,6.363138600839083,6.363138600839083,0.0,11,Унлорская
40,805.24,0.11,0.09,0.75,2.42,50.46,1.9,1.93,1.38,40.15,0.45,0.930741935483871,0.9999999999999999,1.345161290322581,2.3451612903225807,0.6291935483870966,8.336106086074869,85.5112850176491,93.84739110372396,2.5794392523364484,1.4130139310686884,0.0,0.0,0.0,0.0,11,Унлорская
41,803.4,0.92,2.93,14.55,62.68,1.09,1.56,3.65,1.67,9.59,0.2,7.784387096774194,32.55555555555556,16.348924731182795,48.90448028673835,33.85287634408602,0.0,1.9449019607843137,1.9449019607843137,3.1214953271028034,2.2255944377575565,0.0,5.7733379189393546,5.7733379189393546,0.0,11,Унлорская
42,799.18,0.8,2.38,11.32,65.72,2.2,1.02,2.82,2.36,10.26,0.12,6.769032258064517,26.444444444444443,10.352688172043013,36.79713261648746,43.49055913978494,0.0,3.9254901960784316,3.9254901960784316,4.210127105253016,0.0,0.0,6.815620915032678,6.815620915032678,0.0,11,Унлорская
43,798.64,0.75,2.21,11.29,62.85,0.76,0.84,3.35,3.27,13.21,0.46,6.345967741935484,24.555555555555554,13.447311827956995,38.00286738351255,40.211440860215056,0.0,1.356078431372549,1.356078431372549,5.334776120553437,0.0,0.0,11.01781045751634,11.01781045751634,0.0,11,Унлорская
44,798.43,0.67,2.34,11.6,62.15,2.54,0.92,2.86,2.53,13.25,0.11,5.6690645161290325,25.999999999999996,13.488709677419358,39.48870967741935,39.28395161290322,0.0,4.532156862745098,4.532156862745098,4.199896982310094,0.0,0.0,9.567843137254902,9.567843137254902,0.0,11,Унлорская
45,798.28,0.49,1.33,7.39,63.07,4.04,0.63,4.18,5.22,12.78,0.14,4.1460322580645155,14.777777777777779,10.75268817204301,25.530465949820787,47.864559139784944,0.0,7.208627450980392,7.208627450980392,7.761754345396385,0.0,0.0,8.650816993464051,8.650816993464051,0.0,11,Унлорская
46,798.18,0.44,0.95,5.27,80.95,1.38,0.91,1.5,2.06,5.94,0.1,3.722967741935484,10.555555555555555,6.897311827956988,17.452867383512544,69.96494086021507,1.5019117075932895,1.6470527137898743,3.148964421383164,2.379173970015802,0.0,0.0,3.7459937175224995,3.7459937175224995,0.0,11,Унлорская
47,798.11,0.52,1.3,7.02,77.17,1.39,0.55,1.24,1.37,8.6,0.16,4.399870967741935,14.444444444444445,9.155913978494624,23.600358422939067,62.75943010752688,0.0,2.4801960784313724,2.4801960784313724,1.5189921763595022,0.0,0.0,6.570915032679738,6.570915032679738,0.0,11,Унлорская
48,797.85,0.61,1.64,7.9,75.24,0.24,0.68,2.04,2.3,8.54,0.07,5.1613870967741935,18.22222222222222,7.148924731182802,25.371146953405024,59.57287634408601,0.0,0.428235294117647,0.428235294117647,3.1086996955332027,0.0,0.0,7.167320261437908,7.167320261437908,0.0,11,Унлорская
49,797.56,0.41,0.76,4.36,82.12,0.55,0.36,1.76,2.69,6.29,0.28,3.4691290322580643,8.444444444444445,5.760752688172046,14.20519713261649,72.8707365591398,0.0,0.9813725490196079,0.9813725490196079,3.098289783019232,0.0,0.0,5.309738562091503,5.309738562091503,0.0,11,Унлорская
50,797.06,0.49,1.25,6.32,50.68,14.5,0.5,2.0,2.33,8.84,12.23,4.1460322580645155,13.88888888888889,6.736021505376345,20.624910394265235,37.936392473118275,0.0,0.0,0.0,3.2771390526843187,0.0,0.0,7.937222222222222,7.937222222222222,29.217782631341045,11,Унлорская
51,783.7,1.06,2.56,13.0,55.14,5.02,1.09,2.3,2.01,13.52,3.08,8.968967741935485,28.444444444444443,13.613978494623655,42.058422939068095,28.80510752688172,0.0,1.6584068638585907,1.6584068638585907,2.856197864878406,0.0,0.0,10.94214106106338,10.94214106106338,7.358198732995128,11,Унлорская
52,783.59,0.2,0.18,1.04,26.26,22.73,0.13,3.21,4.94,5.86,31.91,1.6922580645161291,1.9999999999999998,0.5548387096774201,2.55483870967742,23.883806451612905,0.20516769390858874,0.0,0.20516769390858874,6.771759972251128,0.0,0.0,5.622913659169895,5.622913659169895,76.23380570450472,11,Унлорская
53,783.55,0.49,1.63,6.9,57.35,1.98,1.22,6.53,9.0,13.97,0.16,4.1460322580645155,18.11111111111111,3.302688172043017,21.413799283154127,44.39405913978494,2.3162410357207435,2.27558907410808,4.591830109828823,12.918790187690295,0.0,0.0,10.583567413834471,10.583567413834471,0.0,11,Унлорская
54,783.34,0.13,0.22,1.72,7.75,49.82,1.41,0.42,0.49,36.14,1.54,1.0999677419354839,2.444444444444444,3.863978494623656,6.3084229390681,3.88660752688172,5.489534168764138,82.26513800670729,87.75467217547143,0.6199075422977609,0.0,0.0,0.0,0.0,3.679099366497564,11,Унлорская
55,782.8,0.56,1.44,7.37,70.97,1.97,0.56,1.3,1.59,12.98,0.25,4.738322580645161,15.999999999999998,8.24354838709678,24.24354838709678,56.06875806451613,0.0,3.515098039215686,3.515098039215686,1.5975064169268125,0.0,0.0,10.394901960784315,10.394901960784315,0.0,11,Унлорская
56,782.18,0.2,0.29,2.46,11.17,30.29,14.22,1.55,0.47,38.77,0.12,1.6922580645161291,3.222222222222222,5.821505376344086,9.043727598566308,5.539473118279569,63.68682930589278,19.47499933121589,83.16182863710867,0.8785046728971962,1.981469762920749,0.0,0.0,0.0,0.0,11,Унлорская
57,781.99,0.76,1.53,8.03,68.14,2.12,0.82,1.83,2.31,13.07,0.19,6.430580645161291,17.0,8.398387096774192,25.398387096774194,51.53156451612904,0.0,3.7827450980392157,3.7827450980392157,2.6762771418661124,0.0,0.0,10.302254901960785,10.302254901960785,0.0,11,Унлорская
58,781.6,0.16,0.37,2.95,21.23,41.85,0.82,0.34,0.4,31.1,0.1,1.3538064516129031,4.111111111111111,7.267204301075271,11.378315412186382,14.681478494623658,2.016607641019711,73.57883079535434,75.59543843637405,0.22510236250818977,0.0,0.0,0.0,0.0,0.0,11,Унлорская
59,781.5,0.29,0.98,5.64,30.97,32.0,0.88,0.75,0.82,26.63,0.23,2.4537741935483868,10.888888888888888,9.481182795698926,20.370071684587813,19.384586021505378,0.9197012252787486,56.598787086345695,57.518488311624445,0.6484543492503952,0.0,0.0,0.5636006377223565,0.5636006377223565,0.0,11,Унлорская
60,781.32,0.1,0.16,1.28,7.73,48.74,0.99,0.2,0.19,39.92,0.1,0.8461290322580646,1.7777777777777777,2.910752688172043,4.688530465949821,4.837236559139786,3.814818016607819,84.89660887918585,88.71142689579366,0.22018584036690184,0.0,0.0,0.4961268869102081,0.4961268869102081,0.0,11,Унлорская
61,780.79,0.2,0.58,5.71,27.37,34.86,1.03,1.03,1.12,27.48,0.16,1.6922580645161291,6.444444444444444,17.238172043010753,23.682616487455196,14.418639784946237,1.1008151527818546,61.60360815825925,62.704423311041104,1.1966858981770536,0.0,0.0,0.0,0.0,0.0,11,Унлорская
62,780.67,0.22,0.64,7.03,31.53,31.38,0.97,0.62,0.71,26.2,0.24,1.861483870967742,7.111111111111111,22.673655913978493,29.784767025089604,15.38022043010753,0.0,55.991764705882346,55.991764705882346,0.06902605310825913,0.0,0.0,1.1260130718954229,1.1260130718954229,0.0,11,Унлорская
63,780.66,0.12,0.24,3.53,16.12,42.03,1.13,0.72,0.8,34.76,0.16,1.0153548387096774,2.6666666666666665,12.662903225806453,15.329569892473119,7.723983870967742,2.832412995722048,73.45715414226737,76.28956713798942,0.9141233668632212,0.0,0.0,0.8194426756095212,0.8194426756095212,0.0,11,Унлорская
64,780.32,0.68,2.94,12.62,63.61,2.06,1.0,1.79,1.68,12.11,0.35,5.753677419354839,32.666666666666664,8.506451612903227,41.17311827956989,40.12674193548387,0.0,3.6756862745098036,3.6756862745098036,1.7235867730373458,0.0,0.0,8.370980392156863,8.370980392156863,0.0,11,Унлорская
65,779.63,0.11,0.13,1.03,5.1,48.73,1.3,1.18,1.22,40.82,0.16,0.930741935483871,1.4444444444444444,2.078494623655914,3.5229390681003583,2.7285268817204296,5.411058755866248,84.01225978748533,89.42331854335158,2.2803738317757007,0.09430713956811314,0.0,0.937534409812097,0.937534409812097,0.0,11,Унлорская
66,779.26,0.74,1.76,10.47,61.43,1.42,0.76,4.36,4.76,13.3,0.15,6.261354838709677,19.555555555555554,16.929569892473125,36.48512544802868,39.39865053763441,0.0,2.533725490196078,2.533725490196078,7.648039734844107,0.0,0.0,10.915163398692812,10.915163398692812,0.0,11,Унлорская
67,778.3,0.1,0.12,1.23,7.37,46.62,1.42,0.59,0.65,39.86,1.62,0.8461290322580646,1.3333333333333333,3.32741935483871,4.660752688172043,4.471403225806451,5.786598183871856,76.20449489691869,81.99109308079055,1.0673244305700083,0.0,0.0,3.2565635654148926,3.2565635654148926,3.8702214115104248,11,Унлорская
68,778.24,0.2,0.23,3.42,22.66,24.59,0.11,2.15,3.33,7.73,33.46,1.6922580645161291,2.5555555555555554,11.621505376344086,14.177060931899641,14.381473118279569,0.0,0.0,0.0,4.0355974871854166,0.0,0.0,7.563888888888889,7.563888888888889,79.9367953266289,11,Унлорская
69,778.02,0.38,1.14,7.45,54.73,13.95,0.8,2.81,3.41,14.65,0.09,3.2152903225806453,12.666666666666664,15.124193548387105,27.79086021505377,38.91653225806451,0.0,24.89117647058823,24.89117647058823,4.763462943692914,0.0,0.0,2.8854901960784316,2.8854901960784316,0.0,11,Унлорская
70,777.94,0.31,0.55,3.78,44.85,17.52,5.58,1.34,1.15,23.92,0.38,2.6229999999999998,6.111111111111112,7.183333333333333,13.294444444444444,36.54183333333334,23.504602518150907,18.501899290182017,42.00650180833293,2.149532710280374,0.11505534915530588,0.0,3.078237796382002,3.078237796382002,0.0,11,Унлорская
71,777.1,0.47,0.88,4.85,74.13,1.65,0.34,1.43,2.47,11.87,0.85,3.976806451612903,9.777777777777777,5.717204301075269,15.494982078853045,63.933978494623645,0.0,2.9441176470588233,2.9441176470588233,2.316883724515358,0.0,0.0,9.94032679738562,9.94032679738562,0.0,11,Унлорская
72,776.69,0.25,0.41,2.44,85.75,1.66,0.24,0.54,1.16,6.59,0.39,2.115322580645161,4.555555555555555,3.3102150537634416,7.8657706093189965,80.4894247311828,0.0,2.961960784313725,2.961960784313725,0.7830643619686285,0.0,0.0,4.991928104575163,4.991928104575163,0.0,11,Унлорская
73,776.47,0.7,1.43,8.57,51.47,0.56,0.6,7.15,10.59,17.2,0.5,5.922903225806451,15.888888888888888,13.25860215053764,29.147491039426527,33.248489247311824,0.0,0.9992156862745099,0.9992156862745099,13.991216055806069,0.0,0.0,15.728006535947713,15.728006535947713,0.0,11,Унлорская
74,776.2,1.01,2.19,11.88,57.7,1.18,0.93,4.08,5.04,14.7,0.08,8.545903225806452,24.333333333333332,14.591935483870976,38.92526881720431,33.06882258064516,0.0,2.105490196078431,2.105490196078431,6.872840906463177,0.0,0.0,12.1928431372549,12.1928431372549,0.0,11,Унлорская
75,776.38,0.63,1.39,8.47,56.15,0.26,0.58,6.54,9.67,15.08,0.09,5.3306129032258065,15.444444444444443,14.00107526881721,29.445519713261653,38.16362365591397,0.0,0.463921568627451,0.463921568627451,12.675275214861065,0.0,0.0,13.87218954248366,13.87218954248366,0.0,11,Унлорская
76,776.46,0.75,1.5,9.36,56.15,0.28,0.65,5.99,9.27,14.79,0.1,6.345967741935484,16.666666666666664,15.630645161290326,32.29731182795699,36.06627419354839,0.0,0.4996078431372549,0.4996078431372549,11.362461903110189,0.0,0.0,13.487058823529411,13.487058823529411,0.0,11,Унлорская
77,776.77,0.45,1.07,6.55,72.85,2.79,0.42,1.39,1.86,10.42,1.44,3.8075806451612904,11.88888888888889,11.215053763440858,23.10394265232975,58.984731182795684,0.0,1.5657868607192196,1.5657868607192196,1.9029999614598991,0.0,0.0,8.958964261466521,8.958964261466521,3.4401968102314884,11,Унлорская
78,777.46,0.24,0.49,3.93,37.53,21.35,7.16,1.4,0.75,26.28,0.36,2.0307096774193547,5.444444444444444,9.509139784946237,14.953584229390682,28.75280107526882,30.481124125806748,21.548674367885667,52.02979849369241,1.4018691588785046,0.9100872689277819,0.0,0.19888107886251688,0.19888107886251688,0.0,11,Унлорская
79,777.61,0.33,0.74,5.22,46.43,17.16,4.63,1.39,0.86,21.92,0.76,2.792225806451613,8.222222222222221,11.05215053763441,19.274372759856632,35.05074731182796,18.24562916714842,20.71433611275473,38.959965279903145,1.6074766355140186,0.48602999277283043,0.0,2.5724554443840315,2.5724554443840315,0.0,11,Унлорская
80,777.84,0.19,0.34,2.62,27.29,25.54,9.68,1.29,0.57,31.82,0.13,1.6076451612903226,3.777777777777778,5.870430107526882,9.648207885304661,21.43434946236559,42.82103429772525,22.326331696512565,65.14736599423782,1.0654205607476634,1.230193682137456,0.0,0.0,0.0,0.0,11,Унлорская
81,778.07,0.55,1.15,6.48,72.17,3.72,0.48,1.03,1.26,11.78,0.6,4.653709677419355,12.777777777777777,8.70913978494624,21.486917562724017,58.587801075268814,0.0,6.6376470588235295,6.6376470588235295,1.1763339499749492,0.0,0.0,8.031797385620914,8.031797385620914,0.0,11,Унлорская
82,778.56,0.69,1.54,9.63,70.54,0.99,0.64,1.94,2.09,10.78,0.33,5.838290322580645,17.11111111111111,16.807526881720438,33.91863799283155,49.99836559139786,0.0,1.766470588235294,1.766470588235294,2.583012525532817,0.0,0.0,8.891307189542482,8.891307189542482,0.0,11,Унлорская
83,778.68,0.56,1.24,6.86,74.78,2.17,0.54,1.41,1.78,9.51,0.43,4.738322580645161,13.777777777777777,9.026881720430111,22.80465949820789,60.51259139784946,0.0,3.871960784313725,3.871960784313725,1.9262531313832043,0.0,0.0,6.912483660130719,6.912483660130719,0.0,11,Унлорская
84,778.85,0.52,1.19,6.57,76.87,0.96,0.5,1.17,1.4,9.94,0.19,4.399870967741935,13.222222222222221,8.73924731182796,21.96146953405018,63.240263440860225,0.0,1.712941176470588,1.712941176470588,1.4517819015685822,0.0,0.0,8.327614379084968,8.327614379084968,0.0,11,Унлорская
85,779.4,0.71,1.77,9.85,66.48,3.7,0.85,1.64,1.46,12.39,0.16,6.007516129032258,19.666666666666668,13.909677419354836,33.57634408602151,46.11161290322581,0.0,6.601960784313725,6.601960784313725,1.9087099086599608,0.0,0.0,8.20970588235294,8.20970588235294,0.0,11,Унлорская
86,779.76,0.59,1.8,9.76,72.3,0.87,0.7,1.54,1.56,9.95,0.11,4.9921612903225805,20.0,13.946774193548386,33.946774193548386,52.45562903225806,0.0,1.5523529411764705,1.5523529411764705,1.673876864377385,0.0,0.0,7.9676470588235295,7.9676470588235295,0.0,11,Унлорская
87,779.93,0.15,0.24,1.71,8.59,45.73,1.41,4.13,3.69,34.01,0.07,1.2691935483870966,2.6666666666666665,3.3161290322580648,5.982795698924731,4.786354838709677,5.539199729626368,78.58975835356686,84.12895808319323,6.897196261682243,1.6502088587195547,0.0,0.0,0.0,0.0,11,Унлорская
