,Number,Na2O,K2O,Al2O3,SiO2,CaO,MgO,Fe2O3,S,PPP,P2O5,Albit,GidroSl,Mont,Clay,Q,Dolomit,Calcit,Carb,Pyrit,Siderit,UV,Kerogen,OV,Appatit,well,field
2784,24.42,1.28,1.68,9.12,47.17,2.07,1.29,6.61,8.71,20.95,0.27,10.830451612903225,18.666666666666664,7.070967741935488,25.73763440860215,27.43916129032258,1.9770555955779683,2.6203012929070337,4.5973568884850025,12.91518927043589,0.0,1.3770000000000002,11.517304228209412,12.894304228209412,0.0,6П,Тайтымское
2785,24.88,0.85,1.62,8.39,54.56,0.64,1.02,2.91,4.4,24.48,0.17,7.192096774193548,18.0,7.958064516129038,25.95806451612904,37.18767741935484,0.7080007470850336,0.7576284915631188,1.4656292386481524,4.960754075615679,0.0,2.124000000000001,20.164725880190556,22.288725880190558,0.0,6П,Тайтымское
2786,25.12,1.11,2.01,10.07,49.73,0.53,1.3,4.58,5.72,23.63,0.16,9.392032258064516,22.33333333333333,7.7193548387096875,30.052688172043016,28.952225806451608,1.3646685699547292,0.20488733821659133,1.5695559081713206,8.3227746560296,0.0,1.6650000000000005,17.718965037571955,19.383965037571954,0.0,6П,Тайтымское
2787,25.56,0.92,1.99,10.21,50.9,0.66,1.25,3.2,4.22,25.16,0.13,7.784387096774194,22.11111111111111,10.315591397849468,32.42670250896058,30.006543010752686,0.773793264969122,0.7575998471998358,1.5313931121689577,5.267325740933442,0.0,1.6320000000000008,20.06160414658089,21.693604146580892,0.0,6П,Тайтымское
2788,25.97,1.02,2.12,10.38,49.63,1.02,1.32,3.32,4.5,24.7,0.14,8.630516129032259,23.555555555555557,8.176344086021507,31.731899641577066,28.57427956989247,1.2000642730299338,1.1685551316144447,2.3686194046443783,5.528217674490308,0.0,1.9760000000000004,19.391704149604173,21.367704149604172,0.0,6П,Тайтымское
2789,26.13,1.04,2.1,10.55,43.92,1.82,1.4,4.37,5.3,27.7,0.18,8.79974193548387,23.333333333333332,9.195161290322588,32.52849462365592,22.33169354838709,1.4446200094275012,2.4632510728883994,3.907871082315901,7.759297375419125,0.0,1.1249999999999987,21.914712829745614,23.039712829745614,0.0,6П,Тайтымское
2790,26.43,0.98,1.88,9.68,48.49,0.62,1.2,3.27,4.69,27.96,0.18,8.292064516129031,20.888888888888886,9.005376344086027,29.894265232974913,28.4841182795699,0.9312634334486568,0.6007459323190487,1.5320093657677054,5.535587543839366,0.0,2.278999999999999,23.26872584995777,25.54772584995777,0.0,6П,Тайтымское
2791,26.76,1.04,1.72,8.93,52.82,0.76,1.12,3.25,4.76,24.4,0.19,8.79974193548387,19.11111111111111,7.428494623655912,26.539605734767022,34.09602688172043,1.0768707216782147,0.7715081534984204,1.848378875176635,5.651151616757237,0.0,2.302000000000001,19.88753892458895,22.18953892458895,0.0,6П,Тайтымское
2792,27.18,0.99,1.7,9.27,49.62,0.58,1.09,3.53,5.28,26.79,0.11,8.376677419354838,18.88888888888889,9.87311827956989,28.76200716845878,30.043408602150542,0.6006334806751046,0.7088530919362768,1.3094865726113813,6.171431456430416,0.0,1.726999999999998,22.191225865074166,23.918225865074163,0.0,6П,Тайтымское
2793,27.52,1.12,1.68,9.41,55.99,0.89,1.08,3.4,4.91,20.41,0.21,9.476645161290323,18.666666666666664,9.837096774193556,28.50376344086022,35.77901612903226,0.594264699342743,1.2654475865962063,1.8597122859389492,5.905482367903805,0.0,1.6689999999999983,15.603699839766238,17.272699839766236,0.0,6П,Тайтымское
2794,27.83,0.14,0.17,1.23,17.31,44.81,0.83,0.39,1.41,29.63,0.32,1.1845806451612904,1.888888888888889,2.16505376344086,4.0539426523297495,14.513231182795698,3.1794979114229895,78.2291341512903,81.40863206271328,0.6513763055459207,0.0,0.0,1.8137043310008845,1.8137043310008845,0.0,6П,Тайтымское
